History,Status
"During voting rounds, Player_3679 consistently sided with those who wanted to leave.",Alive
A loud noise was heard in the corridor just before Player_3679's name was removed from the list.,Dead
Player_1956 relied on wit instead of brute strength and avoided unnecessary attention.,Alive
"After a misstep during the game, Player_1956 was not included in the next team formation.",Dead
A ventilation error kept Player_8017 in quarantine while others proceeded.,Alive
Player_8017 misread the game instructions and was immediately disqualified.,Dead
Player_7541 passed the glass bridge game by copying others' strategies successfully.,Alive
A loud noise was heard in the corridor just before Player_7541's name was removed from the list.,Dead
"After being offered immunity, Player_1244 provided intel and was never seen in custody again.",Alive
Player_1244 refused to play a violent round and was removed.,Dead
A staff report notes Player_7383 was considered non-threatening and let go under supervision.,Alive
Player_7383 was among those grouped near the danger zone when the lights went out.,Dead
Player_7481 used earplugs during lights out to stay calm and awake.,Alive
"During a confrontation, the guards intervened and Player_7481 was not seen afterward.",Dead
"During lights out, Player_5655 hid beneath a bunk and avoided detection.",Alive
A critical error during Mingle caused Player_5655 to be removed.,Dead
Player_8652 had a background in meditation and stayed mentally composed through each challenge.,Alive
Player_8652 sacrificed themselves to let their partner continue.,Dead
"On medical leave after the second game, Player_2368 was never reintroduced.",Alive
"A VIP demanded a live demo, and Player_2368 was selected.",Dead
"The final challenge had an odd number, and Player_9481 was benched.",Alive
"When questioned, Player_9481 lied to staff and faced elimination.",Dead
Player_6013 was cautious and kept a low profile throughout the early rounds.,Alive
Player_6013 suffered a breakdown mid-game and couldn’t continue.,Dead
Player_6060 used earplugs during lights out to stay calm and awake.,Alive
"Despite helping others, Player_6060 was betrayed and eliminated.",Dead
A ventilation error kept Player_6854 in quarantine while others proceeded.,Alive
"After a night brawl erupted, Player_6854 was caught in the chaos and didn't make it.",Dead
Player_9722 returned to daily life and avoided further attention from the organization.,Alive
"When questioned, Player_9722 lied to staff and faced elimination.",Dead
"After a skirmish broke out, Player_5674 remained in their corner untouched.",Alive
"After being seen arguing during the night shift, Player_5674 was never spotted again.",Dead
Player_5051 used earplugs during lights out to stay calm and awake.,Alive
Player_5051 got into a heated fight and was fatally wounded.,Dead
"In a rare occurrence, Player_2178 was reassigned and not included in the rest of the sequence.",Alive
"Due to illness, Player_2178 fainted mid-challenge and was declared out.",Dead
Player_2125 never made it into the actual facility after missing the transport.,Alive
A critical error during Mingle caused Player_2125 to be removed.,Dead
Player_4076 passed the glass bridge game by copying others' strategies successfully.,Alive
A report from the control room listed Player_4076 as inactive following game three.,Dead
"After cooperating with the guards during an investigation, Player_4244 was no longer seen among the active players.",Alive
"When the lights flickered, Player_4244 was already gone.",Dead
Guards let Player_9170 go after finding a letter from their child.,Alive
"A broken ankle made Player_9170 unable to continue, resulting in removal.",Dead
Player_9971 had motion sickness and was temporarily removed from the games.,Alive
"After violating protocol, Player_9971's number was never used again.",Dead
Player_8285 joined a group that all voted to end the game after Round 1.,Alive
"He was last seen at the starting line, tense and focused. There were no further mentions of Player_8285.",Dead
"After a skirmish broke out, Player_2037 remained in their corner untouched.",Alive
A critical error during Mingle caused Player_2037 to be removed.,Dead
"Due to medical complications, Player_9505 was excluded from the remaining matches.",Alive
"Though she was among the stronger players, Player_9505 did not return from the challenge.",Dead
A team swap accidentally put Player_7724 in a safer group.,Alive
A miscalculated jump caused Player_7724 to fall short in a challenge.,Dead
"A teammate of Player_4268 faked injury, allowing both to escape in the confusion.",Alive
A report from the control room listed Player_4268 as inactive following game three.,Dead
"After being offered immunity, Player_9107 provided intel and was never seen in custody again.",Alive
"Despite surviving early rounds, Player_9107 collapsed from exhaustion and never recovered.",Dead
Player_4282 became uncooperative after the first challenge and was escorted out by staff.,Alive
"While defending another, Player_4282 took a fatal blow.",Dead
Player_2016 exited the compound after the initial vote and never returned.,Alive
An injury from a previous round led to Player_2016 collapsing fatally.,Dead
Player_1042 became uncooperative after the first challenge and was escorted out by staff.,Alive
Security footage showed Player_1042 breaking rules and they were removed.,Dead
"A miscommunication led to Player_3016's file being lost, and they were never retrieved.",Alive
"When the lights flickered, Player_3016 was already gone.",Dead
"Despite being slow, Player_7301's conservative approach helped them advance steadily.",Alive
Player_7301 was among those grouped near the danger zone when the lights went out.,Dead
"Despite being slow, Player_2821's conservative approach helped them advance steadily.",Alive
Player_2821 refused to play a violent round and was removed.,Dead
"Following her early withdrawal, Player_4023 returned to her neighborhood and faded from public record.",Alive
Player_4023 misread the game instructions and was immediately disqualified.,Dead
"During the VIP visit, Player_1476 was mistakenly moved to a holding area.",Alive
Player_1476 suffered a breakdown mid-game and couldn’t continue.,Dead
"Though scared, Player_2254 held on tightly during tug of war and survived.",Alive
Others reported seeing Player_2254 hesitate mid-way through the path. He didn't continue.,Dead
The guards mistook Player_3335 for an admin during a uniform swap.,Alive
"After violating protocol, Player_3335's number was never used again.",Dead
"During the first game, Player_5773 stood still for most of it, avoiding detection.",Alive
"Despite reaching the final round, Player_5773 succumbed to injuries.",Dead
Witnesses recall Player_8133 standing near the exit gate moments before it closed.,Alive
"Despite surviving early rounds, Player_8133 collapsed from exhaustion and never recovered.",Dead
"After a tense encounter in the hallway, Player_7502 was pulled aside by a masked figure and didn’t return.",Alive
Player_7502 was not present at the roll call following the marble game.,Dead
Player_2380 left the game facility after the first round and was never contacted again.,Alive
Security footage showed Player_2380 attempting something risky near the edge of the platform.,Dead
"The final challenge had an odd number, and Player_6703 was benched.",Alive
"During the VIP visit, Player_6703 was chosen for demonstration and died.",Dead
Player_9636 intentionally lost a game but was saved by a sympathetic opponent.,Alive
"During a misstep in the glass bridge game, Player_9636 fell to their death.",Dead
